schema,enum_name,enum_value
public,assignment_status,draft
public,assignment_status,active
public,assignment_status,expired
public,assignment_status,archived
public,channel_type,web_chat
public,channel_type,whatsapp
public,channel_type,telefono
public,channel_type,presencial
public,channel_type,email
public,channel_type,app_movil
public,doc_status,draft
public,doc_status,active
public,doc_status,expired
public,doc_status,archived
public,estado_calificacion_enum,INICIANDO
public,estado_calificacion_enum,CALIFICANDO
public,estado_calificacion_enum,CALIFICADO
public,estado_calificacion_enum,LISTO_PARA_AGENDAR
public,media_kind,image
public,media_kind,video
public,media_kind,document
public,media_kind,audio
public,media_kind,other
public,media_purpose,evidence
public,media_purpose,clarification
public,media_purpose,resolution
public,media_purpose,billing
public,media_purpose,identity
public,media_purpose,other
public,media_source,customer
public,media_source,agent
public,media_source,system
public,media_source,external
public,nivel_interes_enum,ALTO
public,nivel_interes_enum,MEDIO
public,nivel_interes_enum,BAJO
public,nivel_interes_enum,EXPLORANDO
public,payment_method,pago_linea
public,payment_method,cajero_automatico
public,payment_method,tienda_conveniencia
public,payment_method,oficina_cea
public,payment_method,domiciliacion_bancaria
public,priority_level,urgente
public,priority_level,alta
public,priority_level,media
public,priority_level,baja
public,product_status,draft
public,product_status,active
public,product_status,deprecated
public,service_type,aclaraciones
public,service_type,actualizar_caso
public,service_type,contratacion_cambio
public,service_type,asesor_humano
public,service_type,pago_recibo
public,service_type,reportar_lectura
public,service_type,reportes_fugas
public,service_type,revision_recibo
public,service_type,recibo_digital
public,status_enum,complete
public,status_enum,incomplete
public,ticket_status,abierto
public,ticket_status,en_proceso
public,ticket_status,esperando_cliente
public,ticket_status,esperando_interno
public,ticket_status,escalado
public,ticket_status,resuelto
public,ticket_status,cerrado
public,ticket_status,cancelado
public,ticket_type_code,FUG
public,ticket_type_code,ACL
public,ticket_type_code,CON
public,ticket_type_code,PAG
public,ticket_type_code,LEC
public,ticket_type_code,REV
public,ticket_type_code,DIG
public,ticket_type_code,ACT
public,ticket_type_code,URG
public,tipo_cliente_enum,FAMILIA
public,tipo_cliente_enum,CORPORATIVO
public,tipo_cliente_enum,ESCUELA
public,tipo_cliente_enum,CALIFICANDO
public,tipo_cliente_enum,DESCONOCIDO
public,tipo_siguiente_paso_enum,AGENDAR_VISITA
public,tipo_siguiente_paso_enum,AGENDAR_REUNION
public,tipo_siguiente_paso_enum,ENVIAR_INFO
public,tipo_siguiente_paso_enum,SEGUIR_CALIFICANDO
public,tipo_siguiente_paso_enum,NINGUNO