id,folio,customer_id,service_type,ticket_type,status,priority,channel,titulo,descripcion,assigned_to,assigned_at,escalated_to,escalated_at,resolution_notes,resolved_at,closed_at,sla_deadline,sla_breached,tags,metadata,created_at,updated_at,client_name,contract_number
57724063-8e98-40e1-a9f2-61ea8433b843,CEA-2025-011022,null,asesor_humano,ACT,resuelto,alta,presencial,Solicitud de nuevo servicio de agua potable,"Construcción nueva en Fraccionamiento Los Encinos. El propietario solicita la instalación de toma de agua potable para nuevo domicilio. Presenta planos autorizados, licencia de construcción y documentos de propiedad. Se requiere cotización y programación de instalación.",null,null,null,null,null,2025-12-05 07:15:45.269+00,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 07:15:45.651386+00,null,523166
08ba07a3-a48f-4716-aa96-ec3433f101e8,TKT-2025-879323,null,asesor_humano,ACT,cerrado,alta,email,Mantenimiento anahuac CDMX,Mantenimiento anahuac CDMX,null,null,null,null,null,2025-11-29 20:26:20.279+00,2025-11-29 20:26:26.961+00,2025-11-28 15:21:19.67076+00,false,[],{},2025-11-27 15:21:19.67076+00,2025-11-29 20:26:50.311083+00,null,null
330a13ee-e184-4bb9-b405-caa9c2624d7b,CEA-ACL-251118-0001,66a89163-b38f-4076-a0a8-3b711bae318c,aclaraciones,ACL,abierto,alta,web_chat,Cobro excesivo en recibo de agua - Revisión de medidor,El recibo del mes de octubre 2025 muestra un consumo de 450 m³ cuando históricamente mi consumo promedio es de 25 m³ mensuales. Solicito revisión del medidor y aclaración del cobro. Adjunto historial de pagos de los últimos 6 meses.,null,null,null,null,null,null,null,2025-11-19 01:18:36.835392+00,false,"[""cobro_excesivo"",""revision_medidor"",""consumo_anormal""]","{""colonia"":""Juriquilla"",""ubicacion"":""Boulevard Universitario 602"",""referencias"":""A un lado de Superama"",""tiempo_estimado"":""2 horas""}",2025-11-18 01:18:36.835392+00,2025-11-18 04:07:27.748747+00,null,null
770549c4-70ea-49c3-925a-91c4bf179f2a,CEA-CON-251118-0001,5a003ee8-9174-4767-9aa8-55872c7ad0af,contratacion_cambio,CON,abierto,media,presencial,Cambio de titular del servicio de agua,"Cliente solicita cambio de titular del servicio. Se presenta con escrituras actualizadas, identificación oficial vigente y comprobante de domicilio. El titular anterior fue dado de baja por defunción.",null,null,null,null,null,null,null,2025-11-19 01:18:36.835392+00,false,"[""cambio_titular"",""documentacion_completa"",""defuncion""]","{""colonia"":""El Pueblito"",""ubicacion"":""Av. Constituyentes 1285"",""referencias"":""Frente al Parque Candiles"",""tiempo_estimado"":""1.5 horas""}",2025-11-18 01:18:36.835392+00,2025-11-18 04:07:33.154615+00,null,null
589deaed-aa08-4ee4-a079-4d939c251411,TKT-2025-114017,null,asesor_humano,PAG,resuelto,media,app_movil,Fuga de agua Tec de Monterrey,Fuga de agua Tec de Monterrey,null,null,null,null,null,2025-11-18 07:56:44.569+00,null,2025-11-19 07:48:34.380313+00,false,[],{},2025-11-18 07:48:34.380313+00,2025-11-18 07:56:44.772172+00,null,null
171d095f-3a24-4120-9a85-e2faf6461ff3,TKT-2025-382020,null,revision_recibo,FUG,resuelto,urgente,telefono,Fuga Ibero,Fuga Ibero,null,null,null,null,null,2025-12-03 06:01:57.066+00,null,2025-12-03 04:23:02.302814+00,false,[],{},2025-12-02 04:23:02.302814+00,2025-12-03 06:01:57.287404+00,null,null
260f08e5-ddf8-4e66-a59b-cf1ad807397b,CEA-FUG-251118-0001,471b2bce-2c37-436f-8375-820d2c1637ec,reportes_fugas,FUG,en_proceso,alta,telefono,Fuga de agua en la calle Corregidora,Se reporta fuga importante en la calle Corregidora esquina con 5 de Mayo. El agua está corriendo desde hace aproximadamente 3 horas. Se requiere atención urgente para evitar desperdicio de agua.,null,2025-11-18 08:00:26.134+00,null,null,null,2025-11-18 07:53:57.501+00,2025-11-18 07:51:25.203+00,2025-11-19 01:18:36.835392+00,false,"[""fuga"",""via_publica"",""urgente""]","{""colonia"":""Centro Histórico"",""ubicacion"":""Calle Corregidora esq. 5 de Mayo"",""referencias"":""Frente a farmacia Guadalajara"",""tiempo_estimado"":""3 horas""}",2025-11-18 01:18:36.835392+00,2025-11-18 08:00:26.294084+00,null,null
bef3b014-1f5d-4c66-b151-91143b591cc1,CEA-2025-011017,null,pago_recibo,PAG,abierto,media,app_movil,Problema con pago en línea de recibo,El usuario intenta realizar el pago del recibo de agua mediante la aplicación móvil pero el sistema marca error al procesar el pago con tarjeta. El número de referencia del recibo es correctamente ingresado pero la transacción no se completa.,null,null,null,null,null,null,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 05:07:43.884649+00,null,523161
232eb0a4-6e4f-49c5-a812-170bb5ee0959,CEA-2025-011019,null,reportes_fugas,FUG,abierto,urgente,telefono,Fuga en medidor de agua,Se reporta fuga en el medidor de agua del domicilio. El agua está brotando por la base del medidor y está generando un charco considerable. El usuario solicita que se suspenda el servicio temporalmente mientras se repara para evitar cobros excesivos.,null,null,null,null,null,null,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 05:07:43.884649+00,null,523163
de5cfaa5-b9ea-4761-9cda-3031485b342b,CEA-2025-011023,null,reportar_lectura,LEC,resuelto,baja,web_chat,Reporte de lectura de medidor,"El usuario reporta la lectura actual de su medidor ya que el personal de CEA no pudo acceder al domicilio en la fecha de lectura programada. Adjunta fotografía clara del medidor mostrando la lectura de 1,247 metros cúbicos. Solicita se actualice en el sistema.",null,null,null,null,null,null,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 05:07:43.884649+00,null,523167
6e8f0a33-985c-4400-8128-81a27a2d5bd4,CEA-2025-011024,null,actualizar_caso,DIG,abierto,media,app_movil,Solicitud de recibo digital,El usuario solicita que sus recibos de agua sean enviados únicamente de forma digital a su correo electrónico. Ya no desea recibir recibos físicos. Proporciona correo electrónico verificado y solicita activación del servicio de facturación electrónica.,null,null,null,null,null,null,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 05:07:43.884649+00,null,523168
1a7fd013-4570-4b69-95a9-feb5f195fc31,CEA-2025-011021,null,revision_recibo,REV,resuelto,baja,whatsapp,Solicitud de revisión de medidor,El propietario solicita que se realice una revisión física del medidor de agua ya que considera que está registrando consumos incorrectos. El consumo reportado es de 85 metros cúbicos cuando normalmente es de 30. No hay fugas visibles en el domicilio.,null,2025-12-05 06:02:56.238+00,null,null,null,2025-12-05 07:01:06.334+00,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 07:01:06.614972+00,null,523165
0e978a7c-6bee-4e6a-b64c-0796ca6b1f72,CEA-2025-011020,null,aclaraciones,ACL,en_proceso,media,email,Aclaración de cobro excesivo en recibo,El usuario indica que su recibo de agua del bimestre actual presenta un cobro tres veces mayor al habitual. No ha habido cambios en el consumo del hogar. Solicita revisión del medidor y aclaración de los cargos. Adjunta copias de recibos anteriores para comparación.,null,2025-12-05 07:16:51.845+00,null,null,null,2025-12-05 07:15:16.601+00,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 07:16:52.120353+00,null,523164
d1f65375-67fc-47a5-bd52-a03d548df35b,TKT-2025-400424,null,reportes_fugas,FUG,en_proceso,media,telefono,Fuga anahuac CDMX,Fuga anahuac CDMX,null,2025-11-18 08:00:36.017+00,null,null,null,null,null,2025-11-19 07:53:20.71279+00,false,"[""INUNDACION""]",{},2025-11-18 07:53:20.71279+00,2025-11-18 08:00:36.216007+00,null,null
ab439e22-a79f-4cba-a660-1f6c95398b6e,CEA-2025-011018,null,contratacion_cambio,CON,abierto,alta,presencial,Solicitud de cambio de titular del contrato,El propietario solicita cambio de nombre en el contrato de servicio de agua potable por venta del inmueble. Se presentó con escrituras y documentación del nuevo propietario. Se requiere actualización en el sistema y emisión de nuevo contrato.,null,null,null,null,null,2025-12-05 15:47:18.677+00,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-06 18:57:04.397567+00,null,523162
7e035a1a-2a27-4c17-a132-0cfdef51d9f9,CEA-2025-011010,null,reportar_lectura,FUG,abierto,urgente,web_chat,Fuga de agua en tubería principal,Se reporta fuga considerable en la tubería principal de la calle Juárez esquina con Allende. El agua está corriendo desde hace aproximadamente 3 horas. Se requiere atención urgente para evitar desperdicio de agua y daños a la vía pública.,null,null,null,null,null,2025-12-05 07:15:51.772+00,2025-12-05 07:16:28.158+00,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 07:16:38.870118+00,null,523160
ce1f54fd-458f-41a4-ab10-9c8b70923acb,TKT-2025-248261,null,actualizar_caso,PAG,resuelto,media,telefono,Fuga anahuac,Fuga anahuac,null,2025-11-24 16:17:55.873+00,null,null,null,2025-11-24 16:18:10.957+00,2025-11-24 16:18:07.388+00,2025-11-19 07:50:49.321569+00,false,"[""fuga""]",{},2025-11-18 07:50:49.321569+00,2025-11-24 16:18:11.120575+00,null,null
6d0d6243-51b5-426f-a0ca-91023b8d0092,TKT-2025-733476,null,revision_recibo,FUG,abierto,alta,telefono,Fuga de agua Anahuac y Tec,Fuga de agua Anahuac y Tec,null,null,null,null,null,null,null,2025-12-02 04:52:13.941999+00,false,[],{},2025-12-01 04:52:13.941999+00,2025-12-01 04:52:13.941999+00,null,null
25375e0b-3091-4a49-af72-b8d52fe8999d,TKT-2025-401806,null,recibo_digital,FUG,resuelto,urgente,telefono,Fuga anahuac Cancun,Fuga anahuac Cancun,null,null,null,null,null,2025-12-03 06:02:15.299+00,null,2025-12-03 04:23:22.048455+00,false,[],{},2025-12-02 04:23:22.048455+00,2025-12-03 06:02:15.640625+00,null,null
452aba4a-c71b-4316-8aa4-02e9e948a6ec,CEA-2025-011025,null,reportes_fugas,URG,en_proceso,urgente,telefono,Fuga severa con riesgo de inundación,Se reporta fuga de gran magnitud en la red principal de distribución en Avenida Constituyentes altura del 450. El agua está inundando la vía pública y representa riesgo para los vehículos. Se solicita cierre de válvulas y reparación inmediata. Protección Civil ha sido notificada.,null,2025-12-05 05:40:41.868+00,null,null,null,null,null,2025-12-06 05:07:43.884649+00,false,null,{},2025-12-05 05:07:43.884649+00,2025-12-05 05:40:52.047886+00,null,523169
1cb44da0-bcee-4ade-8750-8d3935e91521,TKT-2025-151402,null,reportes_fugas,FUG,abierto,alta,telefono,Fuga Ibero,Fuga Ibero,null,null,null,null,null,null,null,2025-12-03 04:19:11.671254+00,false,[],{},2025-12-02 04:19:11.671254+00,2025-12-02 04:19:11.671254+00,null,null
54c56d9e-bb44-4fa2-9517-4ed1b3ca6322,TKT-2025-833215,null,revision_recibo,ACL,resuelto,media,telefono,Fuga de agua Tec de Monterrey,Fuga de agua Tec de Monterrey,null,null,null,null,null,2025-12-02 05:33:22.302+00,null,2025-12-03 04:47:13.512051+00,false,[],{},2025-12-02 04:47:13.512051+00,2025-12-02 05:33:22.540543+00,null,null
260069a1-734b-4085-9fb1-1db8ab2a7306,TKT-2025-793631,null,reportes_fugas,LEC,resuelto,media,telefono,Fuga anahuac Cancun,Fuga anahuac Cancun,null,null,null,null,null,2025-12-02 05:34:04.212+00,null,2025-12-03 04:46:34.43431+00,false,[],{},2025-12-02 04:46:34.43431+00,2025-12-02 05:34:04.457942+00,null,null
d5e7350e-e153-46fc-9cfb-e797598c3b87,CEA-2025-001005,null,revision_recibo,REV,resuelto,alta,telefono,Agua turbia en colonia El Refugio,Múltiples reportes de agua turbia y con mal olor en colonia El Refugio,null,null,null,null,null,2025-11-18 08:03:34.7+00,null,2025-11-19 08:00:59.20654+00,false,"[""calidad_agua"",""turbia"",""olor""]","{""colonia"":""El Refugio"",""municipio"":""Querétaro"",""reportes_similares"":15,""requiere_analisis_laboratorio"":true}",2025-11-18 08:00:59.20654+00,2025-11-18 08:03:34.887898+00,null,null
f23891d3-335c-44c0-ac33-42bf48aab650,CEA-2025-001001,null,reportes_fugas,FUG,abierto,urgente,telefono,Falta de suministro en colonia Loma Dorada,Los vecinos reportan que no tienen agua desde hace 12 horas en la colonia Loma Dorada,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""desabasto"",""urgente"",""colonia""]","{""colonia"":""Loma Dorada"",""municipio"":""Querétaro"",""tiempo_sin_agua"":""12 horas"",""familias_afectadas"":150}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
e1584d31-5fa2-4b98-9cc7-5ab000806434,CEA-2025-001002,null,reportes_fugas,FUG,en_proceso,urgente,app_movil,Fuga importante en Av. Constituyentes,"Fuga de gran magnitud en Av. Constituyentes altura del 1500, formación de socavón",null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""fuga"",""socavon"",""avenida_principal""]","{""municipio"":""Querétaro"",""tipo_fuga"":""tubería_principal"",""ubicacion"":""Av. Constituyentes #1500"",""afecta_vialidad"":true,""requiere_cierre_vial"":true}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
3cf12fe2-841f-4176-b4ba-12eb16fb4b0d,CEA-2025-001003,null,aclaraciones,ACL,esperando_cliente,media,presencial,Aclaración de cargo por consumo excesivo,Usuario solicita revisión de su recibo por consumo inusualmente alto,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""consumo_alto"",""aclaracion"",""recibo""]","{""periodo"":""Oct-Nov 2025"",""municipio"":""Querétaro"",""numero_contrato"":""QRO-45678"",""consumo_promedio"":""8m3"",""consumo_facturado"":""35m3""}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
98addfa8-bc7f-4375-845a-9d9d211c254f,CEA-2025-001004,null,contratacion_cambio,CON,abierto,media,presencial,Solicitud de nueva toma en El Marqués,Ciudadano solicita instalación de nueva toma de agua para construcción de vivienda,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""nueva_toma"",""el_marques"",""vivienda""]","{""direccion"":""Fracc. Real Solare Mz 15 Lt 8"",""municipio"":""El Marqués"",""factibilidad"":""pendiente"",""tipo_servicio"":""doméstico""}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
13cccd24-8c8c-45bd-b028-84a2aa9df065,CEA-2025-001006,null,pago_recibo,PAG,abierto,alta,web_chat,Pago no aplicado en sistema,Usuario realizó pago en Oxxo pero no se refleja en el sistema de CEA,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""pago"",""oxxo"",""no_reflejado""]","{""monto"":""384.50"",""fecha_pago"":""2025-11-16"",""referencia"":""CEA987654321"",""establecimiento"":""Oxxo 5 de Febrero""}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
f30dce67-1a84-4364-929a-3e55e28816f2,CEA-2025-001007,null,revision_recibo,REV,en_proceso,alta,telefono,Medidor dañado por vandalismo,Reporte de medidor dañado presuntamente por vandalismo en colonia San Pablo,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""medidor"",""vandalismo"",""dañado""]","{""colonia"":""San Pablo"",""municipio"":""Querétaro"",""levantar_acta"":true,""numero_medidor"":""QRO-MED-78945"",""requiere_reemplazo"":true}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
5cd605c1-27d9-45ac-8c08-a46c5ba0c88b,CEA-2025-001008,null,actualizar_caso,ACT,esperando_cliente,media,email,Solicitud de ajuste tarifario,Empresa solicita cambio de tarifa de doméstica a comercial,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""cambio_tarifa"",""comercial"",""empresa""]","{""giro"":""cafetería"",""tarifa_actual"":""doméstica"",""numero_contrato"":""QRO-COM-1245"",""tarifa_solicitada"":""comercial"",""documentos_requeridos"":[""RFC"",""licencia_funcionamiento""]}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
cfd80adb-a8f5-4f9f-b162-5bb89c063d9d,CEA-2025-001009,null,reportes_fugas,FUG,en_proceso,urgente,whatsapp,Fuga en San Juan del Río zona centro,"Fuga visible en calle Juárez esquina con Hidalgo, pérdida considerable de agua",null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""fuga"",""san_juan_rio"",""centro""]","{""tipo_via"":""calle"",""municipio"":""San Juan del Río"",""ubicacion"":""Juárez esq. Hidalgo"",""nivel_urgencia"":""alto"",""cuadrilla_asignada"":""Cuadrilla 3""}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
0b341e74-cab8-45c8-b498-4e6bb5f5a7fa,CEA-2025-001010,null,asesor_humano,URG,resuelto,baja,telefono,Consulta sobre programa de tandeo,Ciudadano solicita información sobre horarios de tandeo en su colonia,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""tandeo"",""horarios"",""informacion""]","{""dias"":""lunes a domingo"",""colonia"":""El Pueblito"",""municipio"":""Corregidora"",""horario_tandeo"":""6:00 AM - 10:00 PM""}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
aeab694a-7258-46dd-a281-434132c8a770,CEA-2025-001011,null,recibo_digital,DIG,abierto,media,app_movil,Recibo digital no disponible,Usuario no puede acceder a su recibo digital desde el portal de CEA,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""recibo_digital"",""portal"",""acceso""]","{""error"":""timeout"",""navegador"":""Safari iOS"",""intento_acceso"":""2025-11-18 09:30"",""numero_contrato"":""QRO-34567""}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
c82c0941-e900-4f29-a693-b3da2495db41,CEA-2025-001012,null,actualizar_caso,ACT,en_proceso,alta,presencial,Reconexión de servicio Pedro Escobedo,Solicitud de reconexión de servicio después de pago de adeudo,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""reconexion"",""pedro_escobedo"",""adeudo_pagado""]","{""municipio"":""Pedro Escobedo"",""fecha_pago"":""2025-11-17"",""corte_realizado"":""2025-10-15"",""numero_contrato"":""PED-9876"",""adeudo_liquidado"":""2,450.00""}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
cb9249b7-3d20-4b90-859d-6d8945e64a7b,CEA-2025-001013,null,reportes_fugas,FUG,escalado,alta,email,Presión baja en fraccionamiento Jurica,Vecinos reportan baja presión de agua en todo el fraccionamiento,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""presion_baja"",""jurica"",""fraccionamiento""]","{""municipio"":""Querétaro"",""posible_causa"":""bomba"",""casas_afectadas"":85,""fraccionamiento"":""Jurica"",""requiere_revision_sistema"":true}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
c284b8d2-adfa-4ae7-a0b2-68f8d5033f98,CEA-2025-001014,null,reportes_fugas,FUG,esperando_interno,urgente,telefono,Reporte de toma clandestina en Amazcala,Vecinos reportan posible toma clandestina en construcción abandonada,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""toma_clandestina"",""amazcala"",""denuncia""]","{""localidad"":""Amazcala"",""municipio"":""El Marqués"",""ubicacion"":""Calle sin nombre s/n"",""requiere_inspeccion"":true,""coordinacion_policia"":true}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
ac49b005-5391-4d6a-bc22-6eea1874ebfe,CEA-2025-001015,null,actualizar_caso,ACT,abierto,media,presencial,Actualización de datos de propietario,Cambio de propietario por compra-venta de inmueble en Tequisquiapan,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""cambio_propietario"",""tequisquiapan"",""compraventa""]","{""municipio"":""Tequisquiapan"",""contrato_actual"":""TEQ-5432"",""propietario_nuevo"":""Roberto Sánchez"",""propietario_anterior"":""María González"",""escrituras_presentadas"":true}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
0dac9e5b-3ecc-4e46-a7e4-fc63320c1bb1,CEA-2025-001016,null,asesor_humano,URG,en_proceso,urgente,presencial,Solicitud de pipas por desabasto,Comunidad rural solicita apoyo con pipas debido a desabasto prolongado,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""pipas"",""comunidad_rural"",""desabasto""]","{""localidad"":""El Saucillo"",""municipio"":""Cadereyta"",""pipas_requeridas"":2,""duracion_estimada"":""5 días"",""familias_beneficiadas"":45}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
d294fe18-4257-4dfe-aa30-b399a8ac442c,CEA-2025-001017,null,aclaraciones,ACL,abierto,media,web_chat,Facturación incorrecta por días,Usuario reporta que se le facturaron más días del periodo correspondiente,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""facturacion"",""dias_incorrectos"",""recalculo""]","{""numero_contrato"":""QRO-23456"",""diferencia_cobro"":""67.50"",""periodo_correcto"":""30 días"",""periodo_facturado"":""35 días""}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
cffcb795-b58d-44bd-b8d8-44aab31bfbcd,CEA-2025-001018,null,reportes_fugas,FUG,en_proceso,alta,app_movil,Fuga en red secundaria Corregidora,"Reporte de fuga en tubería secundaria, afecta presión en 20 viviendas",null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""fuga"",""red_secundaria"",""corregidora""]","{""colonia"":""Vista Real"",""municipio"":""Corregidora"",""tipo_tuberia"":""secundaria"",""diametro_tuberia"":""4 pulgadas"",""viviendas_afectadas"":20}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
2ba69cdf-cc1e-4195-bc6f-902322b3d19a,CEA-2025-001019,null,pago_recibo,PAG,esperando_cliente,media,presencial,Convenio de pago por adeudo,Usuario solicita establecer convenio de pago para liquidar adeudo acumulado,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""convenio"",""adeudo"",""facilidades""]","{""adeudo_total"":""4,850.00"",""meses_adeudo"":6,""numero_contrato"":""QRO-67890"",""enganche_propuesto"":""1,200.00"",""propuesta_parcialidades"":4}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
22359df6-8334-4dbe-a90c-803245972e8f,CEA-2025-001020,null,revision_recibo,REV,resuelto,baja,telefono,Verificación de medidor inteligente,Usuario solicita verificación de funcionamiento de medidor inteligente recién instalado,null,null,null,null,null,null,null,2025-11-19 08:00:59.20654+00,false,"[""medidor_inteligente"",""verificacion"",""nuevo""]","{""municipio"":""Querétaro"",""funcionamiento"":""correcto"",""numero_medidor"":""SMART-QRO-1523"",""fecha_instalacion"":""2025-11-10"",""lecturas_transmitidas"":true}",2025-11-18 08:00:59.20654+00,2025-11-18 08:00:59.20654+00,null,null
549f153d-6d49-49c1-9c99-e3ef2452e329,TKT-2025-931467,null,recibo_digital,FUG,abierto,alta,telefono,Fuga Ibero,Fuga Ibero,null,null,null,null,null,null,null,2025-11-19 08:02:11.746468+00,false,[],{},2025-11-18 08:02:11.746468+00,2025-11-18 08:02:11.746468+00,null,null
60337ba0-f782-4f03-98c3-8ea3387b3c2f,TKT-2025-962826,null,reportes_fugas,FUG,abierto,alta,telefono,Fuga ITAM,Fuga ITAM,null,null,null,null,null,null,null,2025-11-19 08:02:43.111662+00,false,"[""FUGA"",""agua""]",{},2025-11-18 08:02:43.111662+00,2025-11-18 08:02:43.111662+00,null,null
f7ca5d0a-c564-4e48-b013-4d97dc1c8aea,TKT-2025-189589,null,reportes_fugas,FUG,abierto,media,email,Fuga anahuac Cancun,Fuga anahuac Cancun,null,null,null,null,null,null,null,2025-11-19 08:06:29.956239+00,false,[],{},2025-11-18 08:06:29.956239+00,2025-11-18 08:06:29.956239+00,null,null
b6f06b46-b54f-4581-afbf-bac2304f242f,TKT-2025-450592,null,reportes_fugas,ACT,abierto,media,telefono,Fuga Centro historico,Fuga Centro historico,null,null,null,null,null,null,null,2025-11-19 19:00:50.908212+00,false,[],{},2025-11-18 19:00:50.908212+00,2025-11-18 19:00:50.908212+00,null,null
7d44f9c4-3dae-4de1-9e11-344358819e0f,TKT-2025-002048,null,reportes_fugas,FUG,abierto,media,telefono,Fuga de agua Tec de Monterrey,Fuga de agua Tec de Monterrey,null,null,null,null,null,null,null,2025-11-22 16:20:02.34648+00,false,[],{},2025-11-21 16:20:02.34648+00,2025-11-21 16:20:02.34648+00,null,null
dedc03ab-4722-48eb-8a3e-03404d30104a,TKT-2025-220166,null,reportes_fugas,FUG,abierto,media,telefono,Fuga de agua Zibata,Fuga de agua Zibata,null,null,null,null,null,null,null,2025-11-22 17:13:40.535147+00,false,[],{},2025-11-21 17:13:40.535147+00,2025-11-21 17:13:40.535147+00,null,null
b33d4b8f-b363-4cd2-a631-436ba79ccc57,TKT-2025-319920,null,reportes_fugas,FUG,abierto,urgente,email,Fuga anahuac CDMX,Fuga anahuac CDMX,null,null,null,null,null,null,null,2025-12-03 04:22:00.282015+00,false,[],{},2025-12-02 04:22:00.282015+00,2025-12-02 04:22:00.282015+00,null,null
ae26df75-3158-4dd4-9f08-604ec835468b,TKT-2025-824208,null,revision_recibo,REV,abierto,alta,telefono,Fuga de agua Tec de Monterrey,Fuga de agua Tec de Monterrey,null,null,null,null,null,null,null,2025-12-03 22:50:24.610927+00,false,[],{},2025-12-02 22:50:24.610927+00,2025-12-02 22:50:24.610927+00,null,null